source,target,type,weight
228,45876,directed,1
228,46319,directed,1
224,46559,directed,1
381,46344,directed,1
381,46484,directed,1
432,46270,directed,1
432,46391,directed,1
260,46560,directed,1
433,46561,directed,1
434,46562,directed,1
434,45876,directed,1
228,46319,directed,1
228,46320,directed,1
228,46365,directed,1
228,45876,directed,1
228,46319,directed,1
279,46563,directed,1
435,46564,directed,1
435,46565,directed,1
436,436,directed,1
437,46393,directed,1
437,46394,directed,1
437,46395,directed,1
438,46566,directed,1
356,46443,directed,1
262,46392,directed,1
378,46567,directed,1
439,45876,directed,1
439,45911,directed,1
440,440,directed,1
440,46568,directed,1
440,46569,directed,1
440,46570,directed,1
440,46571,directed,1
441,46572,directed,1
442,45836,directed,1
443,46573,directed,1
444,46574,directed,1
444,46575,directed,1
445,46576,directed,1
446,34055,directed,1
447,46577,directed,1
252,46274,directed,1
252,46274,directed,1
225,46268,directed,1
225,46250,directed,1
448,46578,directed,1
448,46579,directed,1
449,46451,directed,1
450,46580,directed,1
450,46580,directed,1
451,45839,directed,1
452,46581,directed,1
452,46582,directed,1
